"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","Create customer with invalid phone data type","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:22:57 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","2759","Get list of orders for customer without Orders","sales-portal-api","Sat Dec 13 22:23:05 UTC 2025","passed","Sat Dec 13 22:23:07 UTC 2025","[API] [Sales Portal] [Customers] > [Customer Orders]","","",""
"","4966","Create a customer with an email that already exists","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:23:02 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","120","no token","sales-portal-api","Sat Dec 13 22:23:04 UTC 2025","passed","Sat Dec 13 22:23:04 UTC 2025","Get customers all > negative","","",""
"","4951","Update a customer with field name","sales-portal-api","Sat Dec 13 22:23:16 UTC 2025","passed","Sat Dec 13 22:23:21 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","6514","Update product with valid data: max valid price","sales-portal-api","Sat Dec 13 22:25:16 UTC 2025","passed","Sat Dec 13 22:25:23 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","1","Update delivery details of an order","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] > [Update delivery details of an order]","","",""
"","350","Create a customer without authorization token","sales-portal-api","Sat Dec 13 22:23:00 UTC 2025","passed","Sat Dec 13 22:23:01 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","6700","Update product with invalid data: notes length more than max valid","sales-portal-api","Sat Dec 13 22:25:10 UTC 2025","passed","Sat Dec 13 22:25:16 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","184","Create a customer with empty required field house","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:22:57 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","8223","Assign different manager to an order","sales-portal-api","Sat Dec 13 22:23:25 UTC 2025","passed","Sat Dec 13 22:23:33 UTC 2025","[API] [Sales Portal] [Orders] [Assign a manager to an order]","","",""
"","2753","Search by email","sales-portal-api","Sat Dec 13 22:22:58 UTC 2025","passed","Sat Dec 13 22:23:01 UTC 2025","[API] [Sales Portal] [Customers]","","",""
"","3777","Search by name","sales-portal-api","Sat Dec 13 22:23:53 UTC 2025","passed","Sat Dec 13 22:23:57 UTC 2025","[Sorting Product] [Search Product] > Search","","",""
"","2937","Update a customer with empty request body","sales-portal-api","Sat Dec 13 22:23:15 UTC 2025","passed","Sat Dec 13 22:23:18 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","17183","SortField: manufacturer, sortOrder: desc","sales-portal-api","Sat Dec 13 22:24:37 UTC 2025","failed","Sat Dec 13 22:24:54 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","3320","Create Product","sales-portal-api","Sat Dec 13 22:23:37 UTC 2025","passed","Sat Dec 13 22:23:40 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6468","Update product with valid data: max valid amount","sales-portal-api","Sat Dec 13 22:25:17 UTC 2025","passed","Sat Dec 13 22:25:24 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6748","Update product with invalid data: name less than min valid length","sales-portal-api","Sat Dec 13 22:24:59 UTC 2025","passed","Sat Dec 13 22:25:06 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6688","Update product with invalid data: price less than min valid","sales-portal-api","Sat Dec 13 22:25:04 UTC 2025","passed","Sat Dec 13 22:25:11 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","1","Add 2 valid comments","sales-portal-api","Sat Dec 13 22:23:23 UTC 2025","skipped","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Add Comment]","","",""
"","6419","Get orders for customer without TOKEN","sales-portal-api","Sat Dec 13 22:23:05 UTC 2025","passed","Sat Dec 13 22:23:12 UTC 2025","[API] [Sales Portal] [Customers] > [Customer Orders]","","",""
"","4962","Update a customer with field country","sales-portal-api","Sat Dec 13 22:23:11 UTC 2025","passed","Sat Dec 13 22:23:16 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","1","Update delivery details without Request body","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] > [Update delivery details of an order]","","",""
"","5911","Assign a manager to non-existent order","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","passed","Sat Dec 13 22:23:36 UTC 2025","[API] [Sales Portal] [Orders] [Assign a manager to an order]","","",""
"","130","invalid token","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:01 UTC 2025","Delete customer > negative","","",""
"","3891","Update product with invalid data: price is not a number","sales-portal-api","Sat Dec 13 22:25:06 UTC 2025","passed","Sat Dec 13 22:25:10 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6774","Update product with invalid data: name more than max valid length","sales-portal-api","Sat Dec 13 22:24:59 UTC 2025","passed","Sat Dec 13 22:25:06 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","29619","Update a draft order with existing customer and existing products","sales-portal-api","Sat Dec 13 22:23:32 UTC 2025","passed","Sat Dec 13 22:24:02 UTC 2025","[API] [Sales Portal] [Orders] > [Update Positive]","","",""
"","6499","Update product with valid data: min valid amount","sales-portal-api","Sat Dec 13 22:25:17 UTC 2025","passed","Sat Dec 13 22:25:24 UTC 2025","[API] [Sales Portal] [Products]","","",""
